Series,Venue,Date,Batting Team,Bowling Team,Striker,Batting Type,Non-Striker,Bowler,Bowling Proficiency,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Type,Delivery Type,Pitching Line,Pitching Length,Fielder Angle,Fielder Length Ratio,Bounce Angle,Pitch_x,Pitch_y,Friction,Restitution,Crease Position,Crease Position_x,Crease Position_y,Deviation Degree,Drop Angle,Impact Position_x,Impact Position_y,Impact Position_z,Initial Angle,PBR,Reaction Time,Release Position,Release Position_x,Release Position_y,Release Speed,Stump Position,Stump Position_x,Stump Position_y,Swing Degree,Swing Distance,Six Distance
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,3.5,4,5,0,0,17,46.1,0,0,0,1,1,0,0,23,0,277,4.43,0,0,2,14,8,,,0,BACKFOOT DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,8.885,9.087,-0.35,0.103,0.623,-8.841,-0.074,1.021,0.157,-13.541,-8.007,-0.104,0.94,-11.134,93.156,0.449,8.341,-0.673,2.065,89.898,-10.06,-0.03,1.127,-0.377,-0.022,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,3.6,4,6,0,0,17,46.0,0,0,0,1,1,0,0,24,0,276,4.25,0,0,2,15,8,,,0,BACKFOOT DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,9.217,9.264,-0.355,0.102,0.612,-8.841,-0.079,1.059,0.35,-14.254,-8.127,-0.104,0.991,-10.695,91.586,0.473,8.341,-0.693,2.045,84.298,-10.06,-0.035,1.162,-1.082,-0.083,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,4.1,5,1,1,1,18,46.0,0,0,0,1,1,0,0,24,0,276,4.5,0,0,1,9,9,,,0,FRONTFOOT FLICK,ANGLED IN,Off stump,Good Length,,,7.446,6.568,-0.001,0.191,0.601,-8.841,-0.503,0.607,0.882,-11.547,-999.9,-999.9,-999.9,-6.999,80.975,0.534,8.341,0.953,1.958,84.178,-10.06,-0.62,0.696,-2.925,-0.295,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,4.1,5,2,0,0,18,45.5,0,0,0,1,1,0,0,25,0,275,4.32,0,0,1,10,9,,,0,FRONTFOOT COVERDRIVE,ANGLED IN,Outside Off stump,Good Length,,,7.04,6.864,0.518,0.144,0.586,-8.841,0.262,0.588,-0.119,-11.375,-8.524,0.277,0.564,-7.496,83.476,0.472,8.341,0.895,1.933,87.164,-10.06,0.206,0.67,-1.047,-0.101,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,4.2,5,3,0,0,18,45.4,0,0,0,1,1,0,0,26,0,274,4.15,0,0,1,11,9,,,0,FRONTFOOT OFF DRIVE,ANGLED IN,Outside Off stump,Full Length,,,6.599,5.876,0.626,0.161,0.573,-8.841,0.522,0.461,0.015,-10.875,-7.7,0.548,0.372,-6.746,79.813,0.45,8.341,0.914,1.944,85.276,-10.06,0.494,0.542,0.081,0.006,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,4.3,5,4,0,0,18,45.3,0,0,0,1,1,0,0,27,0,273,4.0,0,0,1,12,9,,,0,GLIDE,ANGLED IN,Outside Off stump,Short of Good Length,,,6.992,8.133,0.521,0.194,0.526,-8.841,0.362,0.655,1.008,-12.305,-8.49,0.37,0.635,-8.434,69.512,0.489,8.341,0.919,1.903,85.006,-10.06,0.333,0.714,-0.148,-0.013,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,4.4,5,5,0,0,18,45.2,0,0,0,1,1,0,0,28,0,272,3.85,0,0,1,13,9,,,0,FORWARD DEFENCE,ANGLED IN,Outside Off stump,Good Length,,,8.072,7.148,0.451,0.15,0.652,-8.841,0.161,0.709,-0.576,-11.65,-8.062,0.2,0.638,-7.727,92.856,0.471,8.341,0.92,1.937,84.916,-10.06,0.1,0.806,0.425,0.031,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,4.5,5,6,4,0,22,45.1,0,0,0,1,1,0,0,29,0,271,4.55,0,4,2,14,13,,,0,STEP DOWN COVER DRIVE,ANGLED IN,Outside Off stump,Short of Good Length,41.17409,1.2,7.782,9.366,0.602,0.132,0.553,-8.841,0.274,0.846,-0.004,-13.246,-7.603,0.325,0.765,-10.269,79.705,0.466,8.341,0.945,1.914,84.251,-10.06,0.223,0.909,-0.109,-0.019,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,4.6,5,7,4,0,26,45.0,0,0,0,1,1,0,0,30,0,270,5.2,0,4,3,15,17,,,0,LOFTED ON DRIVE,ANGLED IN,Outside Off stump,Good Length,113.925,1.16,6.938,7.08,0.489,0.174,0.501,-8.841,0.175,0.571,0.068,-12.869,-7.967,0.222,0.511,-6.355,67.73,0.471,8.341,1.037,1.919,84.475,-10.06,0.107,0.641,-0.582,-0.055,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,5.1,6,1,6,0,32,44.5,0,0,0,1,1,0,0,31,0,269,6.19,1,6,2,16,14,,,0,SLOG SHOT,STRAIGHT BALL,Outside Off stump,Good Length,275.4748,1.13,9.227,8.001,-0.809,0.163,0.674,-8.841,-0.908,0.945,0.305,-12.741,-7.739,-0.891,0.825,-9.474,94.79,0.446,8.34,-0.636,2.067,85.832,-10.06,-0.926,1.065,-0.331,-0.029,71.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,5.2,6,2,4,0,36,44.4,0,0,0,1,1,0,0,32,0,268,6.75,1,4,3,17,18,,,0,FRONTFOOT COVERDRIVE,STRAIGHT BALL,Outside Off stump,Short of Good Length,148.6243,1.21,8.435,7.674,-0.378,0.205,0.592,-8.841,-0.276,0.805,-0.053,-13.03,-7.897,-0.291,0.713,-8.228,78.393,0.443,8.34,-0.621,2.021,87.532,-10.06,-0.256,0.912,-0.689,-0.237,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,5.3,6,3,6,0,42,44.3,0,0,0,1,1,0,0,33,0,267,7.63,2,6,3,18,24,,,0,SLOG SHOT,STRAIGHT BALL,Outside Off stump,Full Length,335.9303,1.23,9.07,5.291,-0.628,0.162,0.638,-8.841,-0.555,0.59,1.301,-13.203,-7.044,-0.587,0.381,-4.519,89.57,0.513,8.341,-0.652,2.06,71.91,-10.06,-0.532,0.706,-0.75,-0.084,70.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,5.4,6,4,4,0,46,44.2,0,0,0,1,1,0,0,34,0,266,8.11,2,4,4,19,28,,,0,FRONTFOOT PULL SHOT,STRAIGHT BALL,Outside Off stump,Short of Good Length,34.89216,1.13,8.661,9.052,-0.378,0.133,0.618,-8.841,-0.186,0.989,-0.297,-13.167,-7.74,-0.214,0.887,-10.91,89.464,0.445,8.341,-0.665,2.033,89.46,-10.06,-0.155,1.088,-0.184,-0.02,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,5.5,6,5,0,0,46,44.1,0,0,0,1,1,0,0,35,0,265,7.88,2,0,4,20,28,,,0,FORWARD PUSH,ANGLED IN,Outside Off stump,Good Length,,,7.349,6.525,-0.271,0.189,0.624,-8.841,-0.147,0.617,0.013,-10.996,-8.258,-0.161,0.566,-8.221,84.72,0.451,8.341,-0.561,2.05,86.995,-10.06,-0.118,0.712,-0.202,-0.032,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,5.6,6,6,6,0,52,44.0,0,0,0,1,1,0,0,36,0,264,8.66,3,6,4,21,34,,,0,BACKFOOT PULL SHOT,STRAIGHT BALL,Outside Off stump,Short Length,16.2602,1.19,10.212,10.948,-0.427,0.201,0.572,-8.841,-0.19,1.338,0.056,-15.989,-7.451,-0.225,1.209,-14.013,75.723,0.456,8.341,-0.605,2.024,84.209,-10.06,-0.159,1.434,-0.162,-0.012,73.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,6.1,7,1,0,0,52,43.5,0,0,0,1,1,0,0,37,0,263,8.43,0,0,3,16,17,,,0,FORWARD DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,7.883,7.091,0.414,0.174,0.638,-8.841,0.081,0.693,-0.31,-11.558,-8.278,0.114,0.644,-7.78,88.253,0.468,8.34,0.963,1.947,85.666,-10.06,0.01,0.79,-0.172,-0.035,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,6.2,7,2,0,0,52,43.4,0,0,0,1,1,0,0,38,0,262,8.21,0,0,3,17,17,,,0,CUT SHOT,ANGLED IN,Outside Off stump,Short of Good Length,,,6.96,8.159,0.558,0.119,0.551,-8.841,0.275,0.673,-0.297,-12.006,-8.687,0.282,0.663,-8.777,80.85,0.483,8.34,0.893,1.904,86.2,-10.06,0.224,0.739,-0.19,-0.009,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,6.3,7,3,4,0,56,43.3,0,0,0,1,1,0,0,39,0,261,8.61,0,4,4,18,21,,,0,CUT SHOT,STRAIGHT BALL,Outside Off stump,Short of Good Length,329.6208,1.22,8.764,8.508,0.683,0.143,0.654,-8.841,0.642,0.913,0.703,-12.583,-8.485,0.644,0.882,-9.039,93.901,0.485,8.34,0.89,1.906,85.752,-10.06,0.634,1.012,0.335,0.028,-1.0
